Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.944600,-69.121000,180.000000,bottom
C2,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.994600,-78.900000,0.000000,bottom
C3,22p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,175.994600,-81.694000,0.000000,bottom
C4,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,149.197600,-84.615000,90.000000,bottom
C5,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,150.086600,-72.550000,180.000000,bottom
C6,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,163.167600,-88.044000,0.000000,bottom
C7,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,168.882600,-75.598000,-90.000000,bottom
D1,PRTR5V0U2X,SOT-143_Handsoldering,19.436000,-10.768200,180.000000,bottom
D2,D,D_SOD-123,5.590000,-13.830000,90.000000,bottom
D3,D,D_SOD-123,41.920000,-5.830000,90.000000,bottom
D4,D,D_SOD-123,60.840000,-6.087500,90.000000,bottom
D5,D,D_SOD-123,79.350000,-6.030000,90.000000,bottom
D6,D,D_SOD-123,99.310000,-6.060000,90.000000,bottom
D7,D,D_SOD-123,118.440000,-6.060000,90.000000,bottom
D8,D,D_SOD-123,139.240000,-5.930000,90.000000,bottom
D9,D,D_SOD-123,164.900000,-5.970000,90.000000,bottom
D10,D,D_SOD-123,183.570000,-5.990000,90.000000,bottom
D11,D,D_SOD-123,203.190000,-5.950000,90.000000,bottom
D12,D,D_SOD-123,222.260000,-5.980000,90.000000,bottom
D13,D,D_SOD-123,241.890000,-5.970000,90.000000,bottom
D14,D,D_SOD-123,261.010000,-5.940000,90.000000,bottom
D15,D,D_SOD-123,264.890000,-5.940000,90.000000,bottom
D16,D,D_SOD-123,23.170000,-28.080000,90.000000,bottom
D17,D,D_SOD-123,47.570000,-26.320000,90.000000,bottom
D18,D,D_SOD-123,67.510000,-26.360000,90.000000,bottom
D19,D,D_SOD-123,86.110000,-26.240000,90.000000,bottom
D20,D,D_SOD-123,105.070000,-26.200000,90.000000,bottom
D21,D,D_SOD-123,124.110000,-26.200000,90.000000,bottom
D22,D,D_SOD-123,142.950000,-26.080000,90.000000,bottom
D23,D,D_SOD-123,161.990000,-26.080000,90.000000,bottom
D24,D,D_SOD-123,181.280000,-26.080000,90.000000,bottom
D25,D,D_SOD-123,200.280000,-26.080000,90.000000,bottom
D26,D,D_SOD-123,219.330000,-26.160000,90.000000,bottom
D27,D,D_SOD-123,238.450000,-26.160000,90.000000,bottom
D28,D,D_SOD-123,257.330000,-26.160000,90.000000,bottom
D30,D,D_SOD-123,29.080000,-43.740000,90.000000,bottom
D31,D,D_SOD-123,52.660000,-43.762500,90.000000,bottom
D32,D,D_SOD-123,71.740000,-43.785000,90.000000,bottom
D33,D,D_SOD-123,90.790000,-43.785000,90.000000,bottom
D34,D,D_SOD-123,109.790000,-43.785000,90.000000,bottom
D35,D,D_SOD-123,128.830000,-43.807500,90.000000,bottom
D36,D,D_SOD-123,147.960000,-43.830000,90.000000,bottom
D37,D,D_SOD-123,166.880000,-43.852500,90.000000,bottom
D38,D,D_SOD-123,186.000000,-43.852500,90.000000,bottom
D39,D,D_SOD-123,205.000000,-43.852500,90.000000,bottom
D40,D,D_SOD-123,224.170000,-43.875000,90.000000,bottom
D41,D,D_SOD-123,243.090000,-43.897500,90.000000,bottom
D42,D,D_SOD-123,262.220000,-43.920000,90.000000,bottom
D43,D,D_SOD-123,288.522500,-28.020000,0.000000,bottom
D45,D,D_SOD-123,21.290000,-62.780000,-90.000000,bottom
D46,D,D_SOD-123,43.310000,-62.760000,-90.000000,bottom
D47,D,D_SOD-123,62.250000,-62.770000,-90.000000,bottom
D48,D,D_SOD-123,81.330000,-62.730000,-90.000000,bottom
D49,D,D_SOD-123,100.420000,-62.730000,-90.000000,bottom
D50,D,D_SOD-123,119.430000,-62.810000,-90.000000,bottom
D51,D,D_SOD-123,138.430000,-62.750000,-90.000000,bottom
D52,D,D_SOD-123,157.610000,-62.730000,-90.000000,bottom
D53,D,D_SOD-123,176.570000,-62.730000,-90.000000,bottom
D54,D,D_SOD-123,195.700000,-62.690000,-90.000000,bottom
D55,D,D_SOD-123,214.700000,-62.730000,-90.000000,bottom
D56,D,D_SOD-123,233.580000,-62.690000,-90.000000,bottom
D57,D,D_SOD-123,260.550000,-62.630000,-90.000000,bottom
D58,D,D_SOD-123,288.260000,-62.710000,-90.000000,bottom
D60,D,D_SOD-123,25.230000,-85.337500,90.000000,bottom
D61,D,D_SOD-123,49.690000,-85.397500,90.000000,bottom
D62,D,D_SOD-123,73.930000,-85.350000,90.000000,bottom
D63,D,D_SOD-123,139.797500,-76.800000,180.000000,bottom
D64,D,D_SOD-123,213.950000,-78.692500,-90.000000,bottom
D65,D,D_SOD-123,233.240000,-78.692500,-90.000000,bottom
D66,D,D_SOD-123,266.510000,-78.692500,-90.000000,bottom
D67,D,D_SOD-123,285.560000,-78.660000,-90.000000,bottom
D68,D,D_SOD-123,295.770000,-74.450000,0.000000,bottom
F1,500m,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,14.634000,-14.185850,-90.000000,bottom
FB1,FerriteBead_Small,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28.250000,-1.310000,-0.000000,bottom
R1,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,151.811600,-88.040500,180.000000,bottom
R2,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,167.866600,-71.534000,0.000000,bottom
R3,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,17.919750,-14.694750,-90.000000,bottom
R4,22,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20.967750,-14.627950,-90.000000,bottom
R5,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,22.238250,-7.364350,0.000000,bottom
R6,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,14.666000,-6.600000,180.000000,bottom
SW2,SW_Push_Reset,SW_SPST_SKQG_WithStem,118.387500,-81.850000,180.000000,bottom
U1,ATmega32U4-A,TQFP-44_10x10mm_P0.8mm,157.278100,-80.309000,-90.000000,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,19.320000,5.600000,0.000000,bottom
Y1,XTAL,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,171.428100,-80.521500,90.000000,bottom
