Ref,Val,Package,PosX,PosY,Rot,Side
"SW3","KC_ESCAPE","SW_Cherry_MX_1.00u_PCB",12.331750,-4.000000,0.000000,top
"SW4","KC_1","SW_Cherry_MX_1.00u_PCB",35.581750,-4.000000,0.000000,top
"SW5","KC_2","SW_Cherry_MX_1.00u_PCB",54.600000,-4.000000,0.000000,top
"SW6","KC_3","SW_Cherry_MX_1.00u_PCB",73.650000,-4.000000,0.000000,top
"SW7","KC_4","SW_Cherry_MX_1.00u_PCB",92.700000,-4.000000,0.000000,top
"SW8","KC_5","SW_Cherry_MX_1.00u_PCB",111.750000,-4.000000,0.000000,top
"SW9","KC_6","SW_Cherry_MX_1.00u_PCB",130.800000,-4.000000,0.000000,top
"SW10","KC_7","SW_Cherry_MX_1.00u_PCB",158.274600,-4.000000,0.000000,top
"SW11","KC_8","SW_Cherry_MX_1.00u_PCB",177.350000,-4.000000,0.000000,top
"SW12","KC_9","SW_Cherry_MX_1.00u_PCB",196.400000,-4.000000,0.000000,top
"SW13","KC_0","SW_Cherry_MX_1.00u_PCB",215.450000,-4.000000,0.000000,top
"SW14","KC_MINUS","SW_Cherry_MX_1.00u_PCB",234.531750,-4.000000,0.000000,top
"SW15","KC_EQUAL","SW_Cherry_MX_1.00u_PCB",253.581750,-4.000000,0.000000,top
"SW16","KC_BACKSPACE","SW_Cherry_MX_2.00u_PCB",282.260000,-4.022500,0.000000,top
"SW17","KC_TAB","SW_Cherry_MX_1.50u_PCB",17.087900,-23.024600,0.000000,top
"SW18","KC_Q","SW_Cherry_MX_1.00u_PCB",40.836900,-23.024600,0.000000,top
"SW19","KC_W","SW_Cherry_MX_1.00u_PCB",59.886900,-23.024600,0.000000,top
"SW20","KC_E","SW_Cherry_MX_1.00u_PCB",78.936900,-23.024600,0.000000,top
"SW21","KC_R","SW_Cherry_MX_1.00u_PCB",97.986900,-23.024600,0.000000,top
"SW22","KC_T","SW_Cherry_MX_1.00u_PCB",117.036900,-23.024600,0.000000,top
"SW23","KC_Y","SW_Cherry_MX_1.00u_PCB",136.086900,-23.024600,0.000000,top
"SW24","KC_U","SW_Cherry_MX_1.00u_PCB",155.136900,-23.024600,0.000000,top
"SW25","KC_I","SW_Cherry_MX_1.00u_PCB",174.186900,-23.024600,0.000000,top
"SW26","KC_O","SW_Cherry_MX_1.00u_PCB",193.236900,-23.024600,0.000000,top
"SW27","KC_P","SW_Cherry_MX_1.00u_PCB",212.286900,-23.024600,0.000000,top
"SW28","KC_LEFT_BRACKET","SW_Cherry_MX_1.00u_PCB",231.336900,-23.024600,0.000000,top
"SW29","KC_RIGHT_BRACKET","SW_Cherry_MX_1.00u_PCB",250.386900,-23.024600,0.000000,top
"SW31","KC_CAPS","SW_Cherry_MX_1.75u_PCB",19.500900,-42.074600,0.000000,top
"SW32","KC_A","SW_Cherry_MX_1.00u_PCB",45.662900,-42.074600,0.000000,top
"SW33","KC_S","SW_Cherry_MX_1.00u_PCB",64.712900,-42.074600,0.000000,top
"SW34","KC_D","SW_Cherry_MX_1.00u_PCB",83.762900,-42.074600,0.000000,top
"SW35","KC_F","SW_Cherry_MX_1.00u_PCB",102.812900,-42.074600,0.000000,top
"SW36","KC_G","SW_Cherry_MX_1.00u_PCB",121.862900,-42.074600,0.000000,top
"SW37","KC_H","SW_Cherry_MX_1.00u_PCB",140.912900,-42.074600,0.000000,top
"SW38","KC_J","SW_Cherry_MX_1.00u_PCB",159.962900,-42.074600,0.000000,top
"SW39","KC_K","SW_Cherry_MX_1.00u_PCB",179.012900,-42.074600,0.000000,top
"SW40","KC_L","SW_Cherry_MX_1.00u_PCB",198.062900,-42.074600,0.000000,top
"SW41","KC_SEMICOLON","SW_Cherry_MX_1.00u_PCB",217.112900,-42.074600,0.000000,top
"SW42","KC_QUOTE","SW_Cherry_MX_1.00u_PCB",236.162900,-42.074600,0.000000,top
"SW43","KC_NONUS_HASH","SW_Cherry_MX_1.00u_PCB",255.212900,-42.074600,0.000000,top
"SW44","KC_ENTER","SW_Cherry_MX_ISOEnter_PCB",289.520000,-32.580000,0.000000,top
"SW46","KC_LEFT_SHIFT","SW_Cherry_MX_1.25u_PCB",14.801900,-61.124600,0.000000,top
"SW47","KC_GRAVE","SW_Cherry_MX_1.00u_PCB",36.264900,-61.124600,0.000000,top
"SW48","KC_Z","SW_Cherry_MX_1.00u_PCB",55.314900,-61.124600,0.000000,top
"SW49","KC_X","SW_Cherry_MX_1.00u_PCB",74.364900,-61.124600,0.000000,top
"SW50","KC_C","SW_Cherry_MX_1.00u_PCB",93.414900,-61.124600,0.000000,top
"SW51","KC_V","SW_Cherry_MX_1.00u_PCB",112.464900,-61.124600,0.000000,top
"SW52","KC_B","SW_Cherry_MX_1.00u_PCB",131.514900,-61.124600,0.000000,top
