Designator;Footprint;Comment
J1;Reset_Pretty-Mask;AVR-ISP-6
D15,D11,D51,D45,D3,D10,D44,D38,D41,D69,D43,D65,D61,D60,D36,D47,D49,D34,D48,D37,D59,D40,D30,D39,D58,D62,D16,D52,D6,D32,D2,D28,D13,D57,D64,D12,D8,D17,D5,D46,D14,D66,D18,D9,D22,D53,D20,D56,D42,D24,D27,D68,D33,D55,D54,D19,D23,D29,D4,D50,D31,D63,D67,D7,D25,D21,D35,D26;D_SOD-123;D
C3,C2;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;22p
R3,R4;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;22
U1;TQFP-44_10x10mm_P0.8mm;ATmega32U4-A
C5;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;10u
C6,C4,C7;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;0.1u
R8,R7,R1,R2;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;10k
R5,R6;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;5.1k
Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering;XTAL
USB1;HRO-TYPE-C-31-M-12-HandSoldering;HRO-TYPE-C-31-M-12
D1;SOT-143_Handsoldering;PRTR5V0U2X
SW2;SW_SPST_SKQG_WithStem;SW_Push_Reset
F1;Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder;500m
C1;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder;1u
