Comment;Designator;Footprint
AVR-ISP-6;J1;Reset_Pretty-Mask
D;D66,D20,D14,D67,D60,D31,D62,D35,D25,D8,D48,D19,D37,D18,D28,D16,D38,D40,D15,D53,D23,D6,D3,D63,D9,D58,D61,D64,D34,D30,D7,D56,D2,D46,D39,D22,D12,D41,D26,D13,D52,D33,D10,D11,D4,D24,D32,D51,D47,D68,D57,D49,D43,D17,D50,D55,D5,D65,D54,D21,D42,D27,D45,D36;D_SOD-123
22p;C3,C2;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
22;R3,R4;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
ATmega32U4-A;U1;TQFP-44_10x10mm_P0.8mm
10u;C5;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
0.1u;C6,C4,C7;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
5.1k;R5,R6;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
XTAL;Y1;Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering
HRO-TYPE-C-31-M-12;USB1;HRO-TYPE-C-31-M-12-HandSoldering
PRTR5V0U2X;D1;SOT-143_Handsoldering
SW_Push_Reset;SW2;SW_SPST_SKQG_WithStem
10k;R1,R2;R_0805_2012Metric_Pad1.20x1.40mm_HandSolder
500m;F1;Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder
1u;C1;C_0805_2012Metric_Pad1.18x1.45mm_HandSolder
60@100MHz;FB1;L_0805_2012Metric_Pad1.15x1.40mm_HandSolder
